lat,lng,elat,latevents,elng,lngevents
44.0520691,-123.0867536,,,,
-32.8894587,-68.8458386,,,,
37.6688205,-122.0807964,,,,
51.033331,2.8658393,,,,
52.2280802,10.706471,,,,
39.7649223,-74.2693297,,,,
38.5668641,14.5716691,,,,
47.8677574,12.6384037,,,,
41.8477765,2.3904096,,,,
38.0495789,-77.3466468,,,,
34.9339503,-103.7605204,,,,
46.0569465,14.5057515,,,,
41.6105937,-87.0641992,,,,
47.642833,6.675242,,,,
45.5230622,-122.6764816,,,,
34.9900503,-106.0491893,,,,
36.651216,117.12,,,,
49.9935,36.230383,,,,
41.4361548,-88.7734493,,,,
53.5510846,9.9936818,,,,
-28.8946769,31.4627576,,,,
51.0413098,3.3970513,,,,
47.257618,3.684328,,,,
44.110898,5.107716,,,,
40.7607793,-111.8910474,,,,
35.2908448,-2.9472191,,,,
40.0117151,-89.8481652,,,,
4.8087174,-75.690601,,,,
-12.046374,-77.0427934,,,,
27.9661349,120.5893348,,,,
50.134664,-0.357056,,,,
51.376165,-0.098234,,,,
41.9909235,-74.6840456,,,,
-34.5885499,-60.949554,,,,
53.3765873,13.3133008,,,,
34.1808392,-118.3089661,,,,
34.1083449,-117.2897652,,,,
47.9823316,8.8192095,,,,
-12.579738,-41.7007272,,,,
29.868336,121.54399,,,,
39.8861052,-94.891913,,,,
-22.3913,143.0381,,,,
-39.1086169,145.6689636,,,,
-22.230273,133.844949,,,,
-23.4421917,144.2555041,,,,
-34.8754495,150.5298387,,,,
46.320207,-112.1072224,,,,
53.8992685,13.6468979,,,,
38.9517053,-92.3340724,,,,
20.2218201,-75.9869609,,,,
32.5597614,41.9196471,,,,
36.2431964,-84.6715407,,,,
40.4406248,-79.9958864,,,,
53.4285438,14.5528116,,,,
51.165691,10.451526,,,,
31.132093,33.8032762,,,,
50.1715288,8.7189606,,,,
49.4295387,2.0807123,,,,
51.3982179,8.5749432,,,,
37.6241793,-104.7802645,,,,
39.898646,-92.4810208,,,,
43.0125274,-83.6874562,,,,
55.755826,37.6173,,,,
42.5027467,-105.0260832,,,,
41.8791979,-87.8431155,,,,
15.1202795,-88.4016041,,,,
6.244203,-75.5812119,,,,
52.3702157,4.8951679,,,,
32.3546679,-89.3985283,,,,
46.4181055,9.2254587,,,,
30.593099,114.305393,,,,
32.7287472,-94.9424379,,,,
42.5027467,-105.0260832,,,,
64.2008413,-149.4936733,,,,
