Month,Events,,,,,,,,,
1960-04,8,,,,,,,,,
1960-05,3,,,,,,,,,
1960-06,3,,,,,,,,,
1960-07,8,,,,,,,,,
1960-08,5,,,,,,,,,
1960-09,6,,,,,,,,,
1960-10,6,,,,,,,,,
1960-11,3,,,,,,,,,
1960-12,5,,,,,,,,,
1961-01,7,,,,,,,,,
1961-02,2,,,,,,,,,
1961-03,3,,,,,,,,,
1961-04,1,,,,,,,,,
1961-05,4,,,,,,,,,
1961-06,3,,,,,,,,,
1961-07,5,,,,,,,,,
1961-08,4,,,,,,,,,
1961-09,8,,,,,,,,,
1961-10,2,,,,,,,,,
1961-11,7,,,,,,,,,
1961-12,6,,,,,,,,,
1962-01,3,,,,,,,,,
1962-02,3,,,,,,,,,
1962-03,10,,,,,,,,,
1962-04,2,,,,,,,,,
1962-05,8,,,,,,,,,
1962-06,5,,,,,,,,,
1962-07,9,,,,,,,,,
1962-08,4,,,,,,,,,
1962-09,8,,,,,,,,,
1962-10,5,,,,,,,,,
1962-11,8,,,,,,,,,
1962-12,8,,,,,,,,,
1963-01,6,,,,,,,,,
1963-02,5,,,,,,,,,
1963-03,7,,,,,,,,,
1963-04,1,,,,,,,,,
1963-05,3,,,,,,,,,
1963-06,7,,,,,,,,,
1963-07,7,,,,,,,,,
1963-08,6,,,,,,,,,
1963-09,4,,,,,,,,,
1963-10,5,,,,,,,,,
1963-11,2,,,,,,,,,
1963-12,5,,,,,,,,,
1964-01,2,,,,,,,,,
1964-02,12,,,,,,,,,
1964-03,9,,,,,,,,,
1964-04,3,,,,,,,,,
1964-05,6,,,,,,,,,
1964-06,5,,,,,,,,,
1964-07,6,,,,,,,,,
1964-08,3,,,,,,,,,
1964-09,4,,,,,,,,,
1964-10,5,,,,,,,,,
1964-11,6,,,,,,,,,
1964-12,8,,,,,,,,,
1965-01,5,,,,,,,,,
1965-02,6,,,,,,,,,
1965-03,7,,,,,,,,,
1965-04,5,,,,,,,,,
1965-05,2,,,,,,,,,
1965-06,3,,,,,,,,,
1965-07,8,,,,,,,,,
1965-08,5,,,,,,,,,
1965-09,7,,,,,,,,,
1965-10,6,,,,,,,,,
1965-11,9,,,,,,,,,
1965-12,6,,,,,,,,,
1966-01,7,,,,,,,,,
1966-02,5,,,,,,,,,
1966-03,7,,,,,,,,,
1966-04,5,,,,,,,,,
1966-05,3,,,,,,,,,
1966-06,5,,,,,,,,,
1966-07,5,,,,,,,,,
1966-08,9,,,,,,,,,
1966-09,5,,,,,,,,,
1966-10,4,,,,,,,,,
1966-11,9,,,,,,,,,
1966-12,5,,,,,,,,,
1967-01,5,,,,,,,,,
1967-02,9,,,,,,,,,
1967-03,11,,,,,,,,,
1967-04,11,,,,,,,,,
1967-05,5,,,,,,,,,
1967-06,14,,,,,,,,,
1967-07,6,,,,,,,,,
1967-08,1,,,,,,,,,
1967-09,3,,,,,,,,,
1967-10,5,,,,,,,,,
1967-11,10,,,,,,,,,
1967-12,11,,,,,,,,,
1968-01,8,,,,,,,,,
1968-02,7,,,,,,,,,
1968-03,9,,,,,,,,,
1968-04,11,,,,,,,,,
1968-05,6,,,,,,,,,
1968-06,6,,,,,,,,,
1968-07,7,,,,,,,,,
1968-08,10,,,,,,,,,
1968-09,5,,,,,,,,,
1968-10,11,,,,,,,,,
1968-11,5,,,,,,,,,
1968-12,11,,,,,,,,,
1969-01,8,,,,,,,,,
1969-02,5,,,,,,,,,
1969-03,8,,,,,,,,,
1969-04,10,,,,,,,,,
1969-05,6,,,,,,,,,
1969-06,5,,,,,,,,,
1969-07,9,,,,,,,,,
1969-08,6,,,,,,,,,
1969-09,11,,,,,,,,,
1969-10,2,,,,,,,,,
1969-11,5,,,,,,,,,
1969-12,7,,,,,,,,,
1970-01,11,,,,,,,,,
1970-02,10,,,,,,,,,
1970-03,5,,,,,,,,,
1970-04,7,,,,,,,,,
1970-05,9,,,,,,,,,
1970-06,3,,,,,,,,,
1970-07,7,,,,,,,,,
1970-08,7,,,,,,,,,
1970-09,7,,,,,,,,,
1970-10,8,,,,,,,,,
1970-11,5,,,,,,,,,
1970-12,8,,,,,,,,,
1971-01,9,,,,,,,,,
1971-02,2,,,,,,,,,
1971-03,3,,,,,,,,,
1971-04,4,,,,,,,,,
1971-05,6,,,,,,,,,
1971-06,5,,,,,,,,,
1971-07,8,,,,,,,,,
1971-08,5,,,,,,,,,
1971-09,6,,,,,,,,,
1971-10,8,,,,,,,,,
1971-11,5,,,,,,,,,
1971-12,6,,,,,,,,,
1972-01,7,,,,,,,,,
1972-02,9,,,,,,,,,
1972-03,5,,,,,,,,,
1972-04,8,,,,,,,,,
1972-05,10,,,,,,,,,
1972-06,17,,,,,,,,,
1972-07,6,,,,,,,,,
1972-08,7,,,,,,,,,
1972-09,7,,,,,,,,,
1972-10,11,,,,,,,,,
1972-11,4,,,,,,,,,
1972-12,13,,,,,,,,,
1973-01,8,,,,,,,,,
1973-02,11,,,,,,,,,
1973-03,7,,,,,,,,,
1973-04,5,,,,,,,,,
1973-05,7,,,,,,,,,
1973-06,5,,,,,,,,,
1973-07,5,,,,,,,,,
1973-08,8,,,,,,,,,
1973-09,10,,,,,,,,,
1973-10,8,,,,,,,,,
1973-11,4,,,,,,,,,
1973-12,11,,,,,,,,,
1974-01,13,,,,,,,,,
1974-02,6,,,,,,,,,
1974-03,5,,,,,,,,,
1974-04,6,,,,,,,,,
1974-05,5,,,,,,,,,
1974-06,3,,,,,,,,,
1974-07,2,,,,,,,,,
1974-08,8,,,,,,,,,
1974-09,6,,,,,,,,,
1974-10,13,,,,,,,,,
1974-11,6,,,,,,,,,
1974-12,9,,,,,,,,,
1975-01,11,,,,,,,,,
1975-02,7,,,,,,,,,
1975-03,5,,,,,,,,,
1975-04,3,,,,,,,,,
1975-05,4,,,,,,,,,
1975-06,5,,,,,,,,,
1975-07,9,,,,,,,,,
1975-08,8,,,,,,,,,
1975-09,6,,,,,,,,,
1975-10,4,,,,,,,,,
1975-11,11,,,,,,,,,
1975-12,2,,,,,,,,,
1976-01,12,,,,,,,,,
1976-02,6,,,,,,,,,
1976-03,6,,,,,,,,,
1976-04,9,,,,,,,,,
1976-05,6,,,,,,,,,
1976-06,5,,,,,,,,,
1976-07,4,,,,,,,,,
1976-08,9,,,,,,,,,
1976-09,9,,,,,,,,,
1976-10,8,,,,,,,,,
1976-11,7,,,,,,,,,
1976-12,5,,,,,,,,,
1977-01,7,,,,,,,,,
1977-02,3,,,,,,,,,
1977-03,7,,,,,,,,,
1977-04,4,,,,,,,,,
1977-05,6,,,,,,,,,
1977-06,3,,,,,,,,,
1977-07,8,,,,,,,,,
1977-08,7,,,,,,,,,
1977-09,10,,,,,,,,,
1977-10,4,,,,,,,,,
1977-11,8,,,,,,,,,
1977-12,14,,,,,,,,,
1978-01,5,,,,,,,,,
1978-02,6,,,,,,,,,
1978-03,10,,,,,,,,,
1978-04,6,,,,,,,,,
